orderNumber,item,dateIssued,dateChanged,orderStatus,orderTotalValue,approvedBy,supplierVendorCode,productSku,quantity,unitPrice,deliveryDate,still_to_be_delivered_qty,still_to_be_delivered_value,still_to_be_invoiced_qty,still_to_be_invoiced_value,contractReference,paymentTerms,requisitioner,costCenter
PO-a3a6944295,1,2025-10-01 01:35:42,2025-10-12 01:35:42,Closed,16164.02,Michele Johnson,SUP-34c21a15,PROD-58f4ab,62,260.71,2025-11-13 01:35:42,0,0.0,51,13296.21,,Net 60,Glenda Perez,CC-175
PO-a3a6944295,2,2025-10-01 01:35:42,2025-10-09 01:35:42,Rejected,87380.52,Larry Martin,SUP-34c21a15,PROD-d914c6,94,929.58,2025-11-29 01:35:42,94,87380.52,94,87380.52,CTR-be3ab08ebd,Net 90,Michael Poole,CC-175
PO-a3a6944295,3,2025-10-01 01:35:42,2025-10-05 01:35:42,Closed,1449.63,Andrew Smith,SUP-34c21a15,PROD-0a9474,39,37.17,2025-11-20 01:35:42,0,0.0,23,854.9100000000001,,Net 90,Mackenzie Buchanan,CC-175
PO-a4dec15d14,1,2024-02-20 19:05:07,2024-03-18 19:05:07,Delivered,44927.5,Christopher Thomas,SUP-5d1146c8,PROD-58f4ab,50,898.55,2024-03-28 19:05:07,0,0.0,16,14376.8,,Net 90,Dean Webb,CC-119
PO-a4dec15d14,2,2024-02-20 19:05:07,2024-02-28 19:05:07,Closed,6243.75,Thomas Lee,SUP-5d1146c8,PROD-be104f,9,693.75,2024-03-03 19:05:07,0,0.0,0,0.0,,Net 60,Phillip Thomas,CC-119
PO-a4dec15d14,3,2024-02-20 19:05:07,2024-02-28 19:05:07,Pending Approval,72360.90000000001,Wendy Taylor,SUP-5d1146c8,PROD-58f4ab,82,882.45,2024-04-14 19:05:07,82,72360.90000000001,82,72360.90000000001,,Net 90,Dennis Ingram,CC-119
PO-a4dec15d14,4,2024-02-20 19:05:07,2024-03-12 19:05:07,Delivered,65591.04,Connie Weiss,SUP-5d1146c8,PROD-4011d4,76,863.04,2024-03-25 19:05:07,0,0.0,33,28480.32,CTR-5089826876,Net 90,Victoria Marshall,CC-119
PO-8f68b80030,1,2024-09-24 15:58:46,2024-10-19 15:58:46,Closed,62323.47,Mindy Pitts,SUP-f1e94c05,PROD-58f4ab,97,642.51,2024-11-09 15:58:46,0,0.0,45,28912.95,,Net 90,Michael Nguyen,CC-107
PO-8f68b80030,2,2024-09-24 15:58:46,2024-10-11 15:58:46,Issued,1914.54,Alexander Green,SUP-f1e94c05,PROD-c649de,17,112.62,2024-11-11 15:58:46,5,563.1,13,1464.06,CTR-2643bfe451,Net 60,Brittany Ortega,CC-107
PO-8f68b80030,3,2024-09-24 15:58:46,2024-10-08 15:58:46,Closed,81795.12,David Ramirez,SUP-f1e94c05,PROD-be104f,88,929.49,2024-11-03 15:58:46,0,0.0,78,72500.22,,Net 90,Benjamin Skinner,CC-107
PO-1369a1da81,1,2024-02-16 22:33:55,2024-03-08 22:33:55,Closed,5814.759999999999,Vincent Hansen,SUP-f23a29b3,PROD-4011d4,14,415.34,2024-04-02 22:33:55,0,0.0,3,1246.02,CTR-0041265735,Net 90,Brian Scott,CC-105
PO-1369a1da81,2,2024-02-16 22:33:55,2024-02-20 22:33:55,Closed,22806.76,James Robinson,SUP-f23a29b3,PROD-4011d4,29,786.44,2024-02-24 22:33:55,0,0.0,29,22806.76,CTR-1d5b4450c9,Net 30,Chris Sandoval,CC-105
PO-1369a1da81,3,2024-02-16 22:33:55,2024-02-25 22:33:55,Closed,37003.56,Robert Ramirez MD,SUP-f23a29b3,PROD-4011d4,44,840.99,2024-03-18 22:33:55,0,0.0,3,2522.9700000000003,,Net 90,Katie Green,CC-105
PO-1369a1da81,4,2024-02-16 22:33:55,2024-02-22 22:33:55,Closed,10081.05,Phillip Melton,SUP-f23a29b3,PROD-be104f,21,480.05,2024-04-05 22:33:55,0,0.0,12,5760.6,CTR-730f05be26,Net 30,Karen Martin,CC-105
PO-1369a1da81,5,2024-02-16 22:33:55,2024-03-04 22:33:55,Approved,21927.62,Amy Garcia,SUP-f23a29b3,PROD-c649de,26,843.37,2024-03-29 22:33:55,26,21927.62,26,21927.62,CTR-64462b2a40,Net 60,Richard Briggs,CC-105
PO-f43b3dda54,1,2024-04-10 15:57:09,2024-04-24 15:57:09,Partially Received,83501.7,Michael Barnes,SUP-4ec4e9dc,PROD-4011d4,86,970.95,2024-05-30 15:57:09,84,81559.8,85,82530.75,CTR-44dda3bcb0,Net 90,Debra Jones,CC-114
PO-806ef5e0a3,1,2023-10-26 22:19:35,2023-11-05 22:19:35,Closed,51631.55,Carl Price,SUP-5d1146c8,PROD-f85570,95,543.49,2023-11-05 22:19:35,0,0.0,73,39674.77,,Net 60,John Hale,CC-177
PO-806ef5e0a3,2,2023-10-26 22:19:35,2023-11-19 22:19:35,Closed,39443.04,Kenneth Griffin,SUP-5d1146c8,PROD-c649de,48,821.73,2023-12-14 22:19:35,0,0.0,8,6573.84,,Net 30,Drew Taylor,CC-177
PO-806ef5e0a3,3,2023-10-26 22:19:35,2023-11-09 22:19:35,Rejected,3059.65,Autumn Dominguez,SUP-5d1146c8,PROD-4011d4,5,611.93,2023-12-25 22:19:35,5,3059.65,5,3059.65,CTR-2fac9a11f4,Net 90,Frances Young,CC-177
PO-806ef5e0a3,4,2023-10-26 22:19:35,2023-11-19 22:19:35,Cancelled,71373.12,Hannah Moore,SUP-5d1146c8,PROD-c649de,76,939.12,2023-11-08 22:19:35,76,71373.12,76,71373.12,,Net 30,Ian Hansen,CC-177
PO-cfff6288f3,1,2024-08-04 09:10:00,2024-08-12 09:10:00,Closed,16148.259999999998,Shelly Robinson,SUP-4bc6d876,PROD-58f4ab,47,343.58,2024-09-25 09:10:00,0,0.0,25,8589.5,,Net 90,Michael Wheeler,CC-180
PO-cfff6288f3,2,2024-08-04 09:10:00,2024-08-28 09:10:00,Approved,6373.44,Amy Peters,SUP-4bc6d876,PROD-58f4ab,72,88.52,2024-09-28 09:10:00,72,6373.44,72,6373.44,CTR-13286eb420,Net 90,Mrs. Shannon Jones,CC-180
PO-cfff6288f3,3,2024-08-04 09:10:00,2024-08-26 09:10:00,Approved,20761.39,Lauren May,SUP-4bc6d876,PROD-be104f,29,715.91,2024-09-20 09:10:00,29,20761.39,29,20761.39,CTR-eb5f6e69ad,Net 30,Patrick Haas,CC-180
PO-176cf5a58d,1,2025-10-11 10:05:37,2025-11-01 10:05:37,Partially Received,13825.6,Rachel Ali,SUP-154dd692,PROD-4011d4,32,432.05,2025-11-28 10:05:37,6,2592.3,31,13393.55,,Net 30,Miss Andrea Montoya,CC-157
PO-176cf5a58d,2,2025-10-11 10:05:37,2025-10-19 10:05:37,Closed,10781.8,Norman Davidson,SUP-154dd692,PROD-c649de,62,173.9,2025-10-18 10:05:37,0,0.0,62,10781.8,,Net 90,Kristen Morrison,CC-157
PO-176cf5a58d,3,2025-10-11 10:05:37,2025-10-29 10:05:37,Closed,5899.52,Dylan Martinez,SUP-154dd692,PROD-be104f,8,737.44,2025-11-09 10:05:37,0,0.0,6,4424.64,,Net 90,Jennifer Cooper,CC-157
PO-66ac6806ee,1,2025-09-28 14:22:01,2025-09-30 14:22:01,Partially Received,883.1,Dylan Simpson,SUP-34c21a15,PROD-4011d4,2,441.55,2025-11-10 14:22:01,0,0.0,2,883.1,,Net 60,Randall Cummings,CC-120
PO-6fb71bb989,1,2024-03-14 23:37:56,2024-04-04 23:37:56,Partially Received,22913.48,Collin Stevenson,SUP-154dd692,PROD-603bc4,58,395.06,2024-04-15 23:37:56,39,15407.34,55,21728.3,CTR-a53b111f44,Net 30,Jenny Duarte,CC-151
PO-6fb71bb989,2,2024-03-14 23:37:56,2024-04-01 23:37:56,Closed,65730.06,Shannon Brown,SUP-154dd692,PROD-58f4ab,89,738.54,2024-04-30 23:37:56,0,0.0,35,25848.9,,Net 90,Scott Butler,CC-151
PO-6fb71bb989,3,2024-03-14 23:37:56,2024-04-06 23:37:56,Closed,7926.66,Jesse Harris,SUP-154dd692,PROD-be104f,21,377.46,2024-05-12 23:37:56,0,0.0,11,4152.06,,Net 90,Shawn Fields,CC-151
PO-6fb71bb989,4,2024-03-14 23:37:56,2024-03-28 23:37:56,Draft,14498.05,Timothy Mccullough,SUP-154dd692,PROD-f85570,35,414.23,2024-04-18 23:37:56,35,14498.05,35,14498.05,CTR-edb28c0f68,Net 60,Alex Kim,CC-151
PO-84ddb17c84,1,2025-06-28 20:03:26,2025-07-16 20:03:26,Rejected,28457.75,Robert Murphy,SUP-09b2252b,PROD-4011d4,89,319.75,2025-08-03 20:03:26,89,28457.75,89,28457.75,CTR-48cf350d03,Net 90,Barbara Henderson,CC-130
PO-84ddb17c84,2,2025-06-28 20:03:26,2025-06-29 20:03:26,Approved,40767.27,Daniel Taylor,SUP-09b2252b,PROD-4011d4,69,590.83,2025-07-21 20:03:26,69,40767.27,69,40767.27,,Net 90,Jamie Clements,CC-130
PO-84ddb17c84,3,2025-06-28 20:03:26,2025-07-25 20:03:26,Approved,1700.85,Jennifer Bradley,SUP-09b2252b,PROD-4011d4,15,113.39,2025-07-26 20:03:26,15,1700.85,15,1700.85,CTR-78e431c09c,Net 90,Jennifer Anderson,CC-130
PO-0d0f5f5a1c,1,2025-09-02 23:37:30,2025-09-07 23:37:30,Closed,16722.7,Antonio Richardson,SUP-d9ee32f7,PROD-4011d4,86,194.45,2025-09-18 23:37:30,0,0.0,11,2138.95,CTR-6060979d20,Net 90,Carmen West,CC-127
PO-0d0f5f5a1c,2,2025-09-02 23:37:30,2025-09-04 23:37:30,Closed,2285.44,Lori Johnson,SUP-d9ee32f7,PROD-d914c6,32,71.42,2025-10-07 23:37:30,0,0.0,9,642.78,,Net 30,Julia Saunders,CC-127
PO-0d0f5f5a1c,3,2025-09-02 23:37:30,2025-09-29 23:37:30,Approved,5646.75,Keith Cruz,SUP-d9ee32f7,PROD-be104f,25,225.87,2025-10-20 23:37:30,25,5646.75,25,5646.75,CTR-e0e13a7db7,Net 60,Jillian Greene,CC-127
PO-0d0f5f5a1c,4,2025-09-02 23:37:30,2025-09-12 23:37:30,Cancelled,39528.990000000005,Lauren Charles,SUP-d9ee32f7,PROD-58f4ab,53,745.83,2025-10-02 23:37:30,53,39528.990000000005,53,39528.990000000005,,Net 30,Kurt Powell,CC-127
PO-c61fc84be0,1,2025-05-27 23:01:03,2025-06-09 23:01:03,Draft,40716.72,Nathaniel Garza,SUP-5d1146c8,PROD-be104f,44,925.38,2025-07-24 23:01:03,44,40716.72,44,40716.72,,Net 60,Jody Clark,CC-162
PO-92d32a927e,1,2024-08-23 10:23:14,2024-09-06 10:23:14,Closed,2524.16,Wendy Waters,SUP-09b2252b,PROD-c649de,68,37.12,2024-10-20 10:23:14,0,0.0,40,1484.8,,Net 60,Daniel Edwards,CC-136
PO-bf26631678,1,2025-01-02 23:40:06,2025-02-01 23:40:06,Approved,18289.44,Alisha Pearson,SUP-34c21a15,PROD-4011d4,39,468.96,2025-02-05 23:40:06,39,18289.44,39,18289.44,CTR-3af06640a1,Net 30,Danielle Henry,CC-116
PO-bf26631678,2,2025-01-02 23:40:06,2025-01-26 23:40:06,Approved,798.3800000000001,Katherine Clayton,SUP-34c21a15,PROD-b75dad,19,42.02,2025-01-20 23:40:06,19,798.3800000000001,19,798.3800000000001,,Net 90,Timothy Kirk,CC-116
PO-bf26631678,3,2025-01-02 23:40:06,2025-01-11 23:40:06,Closed,20703.35,Deborah Nguyen,SUP-34c21a15,PROD-f85570,37,559.55,2025-02-06 23:40:06,0,0.0,10,5595.5,CTR-bfd5e0c94b,Net 60,Brent Martinez,CC-116
PO-9ab24e8f1f,1,2025-01-25 22:15:04,2025-02-21 22:15:04,Closed,58255.89000000001,Amber Johnson,SUP-1de8ee68,PROD-4011d4,77,756.57,2025-03-19 22:15:04,0,0.0,27,20427.390000000003,,Net 30,Jeanne Rogers,CC-126
PO-9ab24e8f1f,2,2025-01-25 22:15:04,2025-02-04 22:15:04,Approved,46096.75,Curtis Barnett,SUP-1de8ee68,PROD-58f4ab,53,869.75,2025-03-07 22:15:04,53,46096.75,53,46096.75,CTR-e6ae9e05b9,Net 90,Robert Banks,CC-126
PO-9ab24e8f1f,3,2025-01-25 22:15:04,2025-02-11 22:15:04,Draft,11686.679999999998,Stephanie Harmon,SUP-1de8ee68,PROD-be104f,27,432.84,2025-02-01 22:15:04,27,11686.679999999998,27,11686.679999999998,,Net 30,John Hill,CC-126
PO-9ab24e8f1f,4,2025-01-25 22:15:04,2025-02-18 22:15:04,Closed,86814.57,Alejandro Pineda,SUP-1de8ee68,PROD-58f4ab,93,933.49,2025-02-24 22:15:04,0,0.0,69,64410.81,,Net 30,Raymond York,CC-126
PO-9ab24e8f1f,5,2025-01-25 22:15:04,2025-02-18 22:15:04,Issued,9871.16,Elizabeth Moore,SUP-1de8ee68,PROD-58f4ab,52,189.83,2025-03-14 22:15:04,20,3796.6,35,6644.05,CTR-db959bafff,Net 90,Leonard Lindsey,CC-126
PO-5f8c272c9b,1,2025-09-23 18:12:27,2025-09-28 18:12:27,Pending Approval,12894.05,Mariah Martinez,SUP-f23a29b3,PROD-0a9474,65,198.37,2025-10-09 18:12:27,65,12894.05,65,12894.05,,Net 60,Desiree Reyes,CC-177
PO-86807ab160,1,2024-09-24 04:08:48,2024-10-24 04:08:48,Draft,1427.09,Courtney Johnson,SUP-5d1146c8,PROD-be104f,37,38.57,2024-10-16 04:08:48,37,1427.09,37,1427.09,,Net 30,Tina Davis,CC-127
PO-86807ab160,2,2024-09-24 04:08:48,2024-10-01 04:08:48,Issued,27476.82,Connie Franco,SUP-5d1146c8,PROD-be104f,54,508.83,2024-10-08 04:08:48,14,7123.62,48,24423.84,,Net 30,Angela Smith,CC-127
PO-86807ab160,3,2024-09-24 04:08:48,2024-10-05 04:08:48,Closed,15066.240000000002,Julie Simmons,SUP-5d1146c8,PROD-c649de,21,717.44,2024-11-16 04:08:48,0,0.0,7,5022.08,,Net 30,Kelsey Williams,CC-127
PO-86807ab160,4,2024-09-24 04:08:48,2024-10-17 04:08:48,Issued,12855.96,Cynthia Smith,SUP-5d1146c8,PROD-58f4ab,78,164.82,2024-11-10 04:08:48,71,11702.22,78,12855.96,,Net 90,Katherine Irwin,CC-127
PO-00fb709e88,1,2024-07-10 21:07:48,2024-07-17 21:07:48,Approved,827.4,Joyce Young,SUP-34c21a15,PROD-58f4ab,20,41.37,2024-08-12 21:07:48,20,827.4,20,827.4,,Net 60,Taylor Brown,CC-161
PO-00fb709e88,2,2024-07-10 21:07:48,2024-08-04 21:07:48,Partially Received,7697.59,Richard Brown,SUP-34c21a15,PROD-603bc4,61,126.19,2024-08-22 21:07:48,10,1261.9,13,1640.47,,Net 30,Diane Carter,CC-161
PO-3f70020994,1,2024-08-18 08:47:25,2024-09-06 08:47:25,Delivered,10210.56,Jason Sparks,SUP-122f9bcf,PROD-4011d4,64,159.54,2024-09-28 08:47:25,0,0.0,52,8296.08,,Net 30,Sarah Franklin,CC-135
PO-3f70020994,2,2024-08-18 08:47:25,2024-09-03 08:47:25,Draft,36794.4,Amanda Gallegos,SUP-122f9bcf,PROD-be104f,40,919.86,2024-10-15 08:47:25,40,36794.4,40,36794.4,,Net 60,Paul Sharp,CC-135
PO-3f70020994,3,2024-08-18 08:47:25,2024-09-10 08:47:25,Approved,28484.82,Teresa Watson,SUP-122f9bcf,PROD-58f4ab,39,730.38,2024-09-16 08:47:25,39,28484.82,39,28484.82,,Net 30,Elizabeth Brooks,CC-135
PO-3f70020994,4,2024-08-18 08:47:25,2024-09-02 08:47:25,Closed,799.64,Bethany Williams,SUP-122f9bcf,PROD-4011d4,4,199.91,2024-08-29 08:47:25,0,0.0,2,399.82,,Net 90,Katelyn Carr,CC-135
PO-f213ca8aba,1,2025-08-03 16:06:06,2025-08-21 16:06:06,Pending Approval,12854.52,Laura Kim,SUP-9be461f4,PROD-d914c6,36,357.07,2025-08-22 16:06:06,36,12854.52,36,12854.52,,Net 60,Anthony Lewis,CC-141
PO-f213ca8aba,2,2025-08-03 16:06:06,2025-08-18 16:06:06,Delivered,64307.54,Micheal Mendez,SUP-9be461f4,PROD-be104f,71,905.74,2025-09-12 16:06:06,0,0.0,1,905.74,,Net 90,Matthew Ruiz,CC-141
PO-f213ca8aba,3,2025-08-03 16:06:06,2025-08-28 16:06:06,Partially Received,3668.1,Steven Armstrong Jr.,SUP-9be461f4,PROD-be104f,30,122.27,2025-08-23 16:06:06,20,2445.4,29,3545.83,,Net 90,Vincent Wyatt,CC-141
PO-f0f15e4b09,1,2023-10-17 08:13:33,2023-10-22 08:13:33,Cancelled,2960.88,Jenna Bauer,SUP-1de8ee68,PROD-6141a9,26,113.88,2023-11-02 08:13:33,26,2960.88,26,2960.88,,Net 90,Holly Jones,CC-151
PO-f0f15e4b09,2,2023-10-17 08:13:33,2023-10-30 08:13:33,Closed,78565.95,Sara Thomas,SUP-1de8ee68,PROD-be104f,95,827.01,2023-11-13 08:13:33,0,0.0,3,2481.03,,Net 90,Tonya Powell,CC-151
PO-45a5535719,1,2025-09-12 09:24:40,2025-09-14 09:24:40,Closed,35070.840000000004,George Wallace,SUP-9be461f4,PROD-6141a9,36,974.19,2025-10-31 09:24:40,0,0.0,21,20457.99,,Net 60,James Velez,CC-172
PO-5704f3cb83,1,2024-09-14 14:42:52,2024-10-06 14:42:52,Issued,36621.93,Andrea Rivera,SUP-4ec4e9dc,PROD-6141a9,57,642.49,2024-11-04 14:42:52,45,28912.05,46,29554.54,CTR-23b582c399,Net 30,John Wise PhD,CC-125
PO-5704f3cb83,2,2024-09-14 14:42:52,2024-09-16 14:42:52,Cancelled,33288.84,Brandon Graham,SUP-4ec4e9dc,PROD-4011d4,78,426.78,2024-11-03 14:42:52,78,33288.84,78,33288.84,,Net 30,Kristy Peters,CC-125
PO-5704f3cb83,3,2024-09-14 14:42:52,2024-09-30 14:42:52,Pending Approval,7927.92,Paul Owen,SUP-4ec4e9dc,PROD-58f4ab,24,330.33,2024-10-14 14:42:52,24,7927.92,24,7927.92,,Net 30,Bethany Garcia,CC-125
PO-b2642c1df8,1,2024-10-13 20:19:37,2024-10-24 20:19:37,Closed,38475.11,Sarah Taylor,SUP-f23a29b3,PROD-58f4ab,43,894.77,2024-11-11 20:19:37,0,0.0,32,28632.64,,Net 30,Crystal Freeman,CC-139
PO-b2642c1df8,2,2024-10-13 20:19:37,2024-11-12 20:19:37,Closed,26656.0,Richard Ellis,SUP-f23a29b3,PROD-f85570,100,266.56,2024-11-08 20:19:37,0,0.0,47,12528.32,,Net 60,Andrew Simmons,CC-139
PO-b2642c1df8,3,2024-10-13 20:19:37,2024-10-28 20:19:37,Approved,4089.69,Jose Williams,SUP-f23a29b3,PROD-be104f,9,454.41,2024-11-01 20:19:37,9,4089.69,9,4089.69,,Net 60,Caitlin Campbell,CC-139
PO-b2642c1df8,4,2024-10-13 20:19:37,2024-10-15 20:19:37,Delivered,9511.32,Monica Taylor,SUP-f23a29b3,PROD-58f4ab,67,141.96,2024-10-30 20:19:37,0,0.0,7,993.72,,Net 60,Roy Fields,CC-139
PO-ab2dea672a,1,2024-10-01 09:00:31,2024-10-10 09:00:31,Pending Approval,2196.78,Michael Colon,SUP-4ec4e9dc,PROD-b75dad,47,46.74,2024-11-27 09:00:31,47,2196.78,47,2196.78,,Net 90,Albert Tucker,CC-144
PO-ab2dea672a,2,2024-10-01 09:00:31,2024-10-26 09:00:31,Partially Received,5688.9,Jessica Russell,SUP-4ec4e9dc,PROD-58f4ab,49,116.1,2024-10-09 09:00:31,16,1857.6,27,3134.7,,Net 30,William Lowe,CC-144
PO-ab2dea672a,3,2024-10-01 09:00:31,2024-10-25 09:00:31,Closed,95526.72,Donald Oconnell,SUP-4ec4e9dc,PROD-be104f,96,995.07,2024-11-03 09:00:31,0,0.0,14,13930.98,,Net 30,Ashley Wilson,CC-144
PO-96a393a2a3,1,2024-03-01 22:09:34,2024-03-30 22:09:34,Draft,39270.85,Anthony Bailey,SUP-0ad5b00c,PROD-be104f,47,835.55,2024-04-28 22:09:34,47,39270.85,47,39270.85,,Net 60,Richard Turner,CC-123
PO-96a393a2a3,2,2024-03-01 22:09:34,2024-03-24 22:09:34,Delivered,82274.44,Michael Richardson,SUP-0ad5b00c,PROD-4011d4,94,875.26,2024-04-24 22:09:34,0,0.0,53,46388.78,,Net 60,Larry Velez,CC-123
PO-96a393a2a3,3,2024-03-01 22:09:34,2024-03-26 22:09:34,Partially Received,25911.6,Ashley Knight,SUP-0ad5b00c,PROD-4011d4,65,398.64,2024-04-22 22:09:34,5,1993.2,31,12357.84,CTR-d2c767e696,Net 90,Kristy Fletcher,CC-123
PO-96a393a2a3,4,2024-03-01 22:09:34,2024-03-18 22:09:34,Approved,15746.85,Shirley Harper,SUP-0ad5b00c,PROD-be104f,63,249.95,2024-03-28 22:09:34,63,15746.85,63,15746.85,,Net 90,Damon Marshall,CC-123
PO-27a37ee264,1,2023-10-27 20:39:56,2023-11-19 20:39:56,Closed,79236.95999999999,Christopher Herrera,SUP-4ec4e9dc,PROD-58f4ab,88,900.42,2023-11-04 20:39:56,0,0.0,13,11705.46,CTR-4b1956a062,Net 60,Lauren Turner,CC-145
PO-27a37ee264,2,2023-10-27 20:39:56,2023-11-07 20:39:56,Rejected,37563.2,Benjamin Allen,SUP-4ec4e9dc,PROD-be104f,68,552.4,2023-12-07 20:39:56,68,37563.2,68,37563.2,,Net 60,Bethany Cobb,CC-145
PO-27a37ee264,3,2023-10-27 20:39:56,2023-11-12 20:39:56,Closed,79749.36,Joseph Garza,SUP-4ec4e9dc,PROD-58f4ab,81,984.56,2023-11-28 20:39:56,0,0.0,57,56119.92,,Net 30,Sarah Warren,CC-145
PO-27a37ee264,4,2023-10-27 20:39:56,2023-11-08 20:39:56,Closed,51507.0,Margaret Contreras,SUP-4ec4e9dc,PROD-4011d4,59,873.0,2023-11-09 20:39:56,0,0.0,8,6984.0,CTR-8fb393e394,Net 60,Ethan Hernandez DDS,CC-145
PO-56e5b88ba0,1,2025-01-23 15:46:18,2025-02-15 15:46:18,Cancelled,17741.51,Maria Kelley,SUP-0ad5b00c,PROD-0a9474,23,771.37,2025-02-28 15:46:18,23,17741.51,23,17741.51,,Net 30,Maria Dalton,CC-107
PO-56e5b88ba0,2,2025-01-23 15:46:18,2025-02-21 15:46:18,Closed,27033.51,Lori Williams,SUP-0ad5b00c,PROD-58f4ab,87,310.73,2025-02-12 15:46:18,0,0.0,48,14915.04,CTR-a2bdd6bfb0,Net 90,Abigail Brown,CC-107
